itemid,description,itemparent
"FXP-00-000-003","Permitir Modificar Tipos de pólizas","FXP-00-000-000"
"FXP-00-000-004","Permitir  Eliminar Tipos de pólizas","FXP-00-000-000"
"FPP-00-000-000","Tipos de proveedores","FX1-10-00-000"
"FPP-00-000-001","Solo lectura","FXP-10-000-000"
"FPP-00-000-002","Permitir Agregar Tipos de proveedores","FPP-00-000-000"
"FPP-00-000-003","Permitir Modificar Tipos de proveedores","FPP-00-000-000"
"FPP-00-000-004","Permitir  Eliminar Tipos de proveedores","FPP-00-000-000"
"FX1-10-350-000","Zonas","FX1-10-00-000"
"FX1-10-350-001","Solo lectura","FX1-10-350-000"
"FX1-10-350-002","Permitir Agregar Zonas","FX1-10-350-000"
"FX1-10-350-003","Permitir Modificar Zonas","FX1-10-350-000"
"FX1-10-350-004","Permitir Eliminar Zonas","FX1-10-350-000"
