"sys_guid","sys_dtcreated","sys_timestamp","sys_info","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_recver","sys_deleted","sys_lock","i1compra","i1venta","i2compra","i2venta","i3compra","i3venta","i4compra","i4venta","nombre","uf_tipoi1","uf_tipoi2","uf_tipoi3","uf_tipoi4","tasa","objetoimp"
"54F2972CDA3646EDBF0093E1988DD5F5","2024-09-26 14:18:26","2024-09-26 14:18:26",\0,\0,\0,"0","2024-09-26 14:18:26","0",\0,\0,"%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","Exento","IEPS"," ","IVA"," ","1","02"
"1B6E5D4AE91446A697120013DB466E03","2024-09-26 14:18:26","2024-09-26 14:18:26",\0,\0,\0,"0","2024-09-26 14:18:26","0",\0,\0,"%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","%0|%0","IVA 0% (México)","IEPS"," ","IVA"," ","0","02"
"D0F4350A044246B4BCA55397E15DEF19","2024-09-26 14:18:26","2024-09-26 14:18:26",\0,\0,\0,"0","2024-09-26 14:18:26","0",\0,\0,"%0|%0","%0|%0","%0|%0","%0|%0","%8|%8","%8|%8","%0|%0","%0|%0","IVA 8% (México)","IEPS"," ","IVA"," ","0","02"
"561BD8D39F6A4AC081544718A8BCDCF1","2024-09-26 14:18:26","2024-09-26 14:18:26",\0,\0,\0,"0","2024-09-26 14:18:26","0",\0,\0,"%0|%0","%0|%0","%0|%0","%0|%0","%16|%16","%16|%16","%0|%0","%0|%0","IVA 16% (México)","IEPS"," ","IVA"," ","0","02"
"7B247634B9C911E3A15509CBE20A8993","2024-09-26 14:18:26","2024-09-26 14:18:26",\0,\0,\0,"0","2024-09-26 14:18:26","0",\0,\0,"%8|%8","%8|%8","%0|%0","%0|%0","%16|%16","%16|%16","%0|%0","%0|%0","IVA-IEPS (México)","IEPS"," ","IVA"," ","0","02"
