"sys_guid","sys_dtcreated","sys_timestamp","sys_info","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_recver","sys_deleted","sys_lock","id","descripcion"
"20787760219E40CDA3D2B9D5DB757AB3","2024-09-26 14:05:01","2024-09-26 14:05:01",\0,\0,\0,\0,\0,"0",\0,\0,"IEPS","IEPS"
"769188B99DC44785BAB5D48A1442C0BA","2024-09-26 14:05:14","2024-09-26 14:05:14",\0,\0,\0,\0,\0,"0",\0,\0,"IVA","IVA"
